[2024-12-11 20:31:21] [class-ss-archive-creation-job.php:97] Starting a job; no job is presently running
[2024-12-11 20:32:48] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/jello.min.css
[2024-12-11 20:32:49] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/lightSpeedIn.css
[2024-12-11 20:32:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/lightSpeedIn.min.css
[2024-12-11 20:32:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/pulse.css
[2024-12-11 20:32:52] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/pulse.min.css
[2024-12-11 20:32:52] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/rollIn.css
[2024-12-11 20:32:52] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/rollIn.min.css
[2024-12-11 20:32:53] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/rotateIn.css
[2024-12-11 20:32:53] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/rotateIn.min.css
[2024-12-11 20:32:53] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/rotateInDownLeft.css
[2024-12-11 20:32:54] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/rotateInDownLeft.min.css
[2024-12-11 20:32:54] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/rotateInDownRight.css
[2024-12-11 20:32:55] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/rotateInDownRight.min.css
[2024-12-11 20:32:56] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/rotateInUpLeft.css
[2024-12-11 20:32:56] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/rotateInUpLeft.min.css
[2024-12-11 20:32:56] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/rotateInUpRight.css
[2024-12-11 20:32:57] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/rotateInUpRight.min.css
[2024-12-11 20:32:57] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/rubberBand.css
[2024-12-11 20:32:58] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/rubberBand.min.css
[2024-12-11 20:32:58] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/shake.css
[2024-12-11 20:32:58] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/shake.min.css
[2024-12-11 20:32:59] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/slideInDown.css
[2024-12-11 20:32:59] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/slideInDown.min.css
[2024-12-11 20:33:00] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/slideInLeft.css
[2024-12-11 20:33:00] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/slideInLeft.min.css
[2024-12-11 20:33:00] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/slideInRight.css
[2024-12-11 20:33:01] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/slideInRight.min.css
[2024-12-11 20:33:01] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/slideInUp.css
[2024-12-11 20:33:01] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/slideInUp.min.css
[2024-12-11 20:33:02] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/swing.css
[2024-12-11 20:33:02] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/swing.min.css
[2024-12-11 20:33:02] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/tada.css
[2024-12-11 20:33:03] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/tada.min.css
[2024-12-11 20:33:03] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/wobble.css
[2024-12-11 20:33:04] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/wobble.min.css
[2024-12-11 20:33:04] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/zoomIn.css
[2024-12-11 20:33:04] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/zoomIn.min.css
[2024-12-11 20:33:05] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInDown.css
[2024-12-11 20:33:05] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInDown.min.css
[2024-12-11 20:33:05] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInLeft.css
[2024-12-11 20:33:06] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInLeft.min.css
[2024-12-11 20:33:06] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInRight.css
[2024-12-11 20:33:07] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInRight.min.css
[2024-12-11 20:33:07] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInUp.css
[2024-12-11 20:33:07] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/nocturnalosis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInUp.min.css
